Time (absolute),Level,Robot name,Process,Hostname,Host Identity,Message
2024-11-25 08:26:16.573,Info,robotaccount-unattended,Grafana,QZ-LT-R-CTK-161,QZ-LT-R-CTK-161\Navya,Bot Started
2024-11-25 08:26:16.575,Info,robotaccount-unattended,Grafana,QZ-LT-R-CTK-161,QZ-LT-R-CTK-161\Navya,processing
2024-11-25 08:26:19.797,Info,robotaccount-unattended,Grafana,QZ-LT-R-CTK-161,QZ-LT-R-CTK-161\Navya,Executed
2024-11-25 08:26:19.798,Info,robotaccount-unattended,Grafana,QZ-LT-R-CTK-161,QZ-LT-R-CTK-161\Navya,End
2024-11-25 08:26:22.749,Info,robotaccount-unattended,Grafana,QZ-LT-R-CTK-161,QZ-LT-R-CTK-161\Navya,Grafana execution ended
2024-11-26 05:23:55.624,Info,robotaccount-unattended,Grafana,QZ-LT-R-CTK-161,QZ-LT-R-CTK-161\Navya,Grafana execution started
2024-11-26 05:23:55.650,Info,robotaccount-unattended,Grafana,QZ-LT-R-CTK-161,QZ-LT-R-CTK-161\Navya,Bot Started
2024-11-26 05:23:55.652,Info,robotaccount-unattended,Grafana,QZ-LT-R-CTK-161,QZ-LT-R-CTK-161\Navya,processing
2024-11-26 05:24:44.370,Info,robotaccount-unattended,Grafana,QZ-LT-R-CTK-161,QZ-LT-R-CTK-161\Navya,Executed
2024-11-26 05:24:44.373,Info,robotaccount-unattended,Grafana,QZ-LT-R-CTK-161,QZ-LT-R-CTK-161\Navya,End
2024-11-26 05:24:48.053,Info,robotaccount-unattended,Grafana,QZ-LT-R-CTK-161,QZ-LT-R-CTK-161\Navya,Grafana execution ended
